UDDANNELSE;SEKTOR;AFLOEN;LONGRP;LØNMÅL;KØN;TID;INDHOLD
H3015 Kontor, handel og forretningsservice (KHF);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;313,50
H3015 Kontor, handel og forretningsservice (KHF);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;318,53
H3015 Kontor, handel og forretningsservice (KHF);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;324,20
H3015 Kontor, handel og forretningsservice (KHF);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;334,79
H3015 Kontor, handel og forretningsservice (KHF);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;347,15
H3015 Kontor, handel og forretningsservice (KHF);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;363,07
H3020 Fødevarer mv. (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;267,38
H3020 Fødevarer mv. (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;273,74
H3020 Fødevarer mv. (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;278,78
H3020 Fødevarer mv. (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;290,19
H3020 Fødevarer mv. (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;299,12
H3020 Fødevarer mv. (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;313,27
H3025 Jordbrug og natur (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;268,93
H3025 Jordbrug og natur (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;274,99
H3025 Jordbrug og natur (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;282,63
H3025 Jordbrug og natur (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;293,05
